Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B02965,ORION LUXURY CORP,,2017,2,February,198,0,8
B01424,EAGLE CAR & LIMO LTD.,,2018,12,December,290,0,2
B02005,CAR LINE TRANSPORTATION CORP.,CAR LINE TRANSPORTATION CORP.,2016,8,August,828,0,24
B02537,ALLTOWN LIMO CORP.,,2017,5,May,9202,0,105
B03046,"BEL-LINDA, INC",ISLANDER TRANS,2019,1,January,3626,0,10
B01436,NEW PRONTO TRANSP INC,,2018,11,November,698,0,13
B01273,PUERTO RICO CAR SERVICE INC.,,2020,4,April,203,0,1
B02664,CORPORATE CAR LTD.,,2018,12,December,126,0,36
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,2019,10,October,24210,0,471
B00625,"CENTRAL CAR SERVICES,INC.",,2017,3,March,7448,0,35
B02279,MATAMOROS CAR SERVICE INC.,,2020,6,June,4110,0,14
B02285,"VALERA GLOBAL, INC.",,2016,7,July,3425,0,89
B02167,MADISON LIMOUSINE INC,,2018,5,May,90,0,7
b01091,A & R GOLDEN EXP INC,,2015,11,November,6281,0,10
B02912,FIRST CLASS LUXURY INC,,2017,5,May,1405,0,9
B02021,EASYRIDE CAR SERVICE INC.,,2017,7,July,1200,0,6
B00619,"HOLA CAR SERVICE,INC.",,2016,3,March,664,0,6
B00448,DIAL CAR INC.,,2021,8,August,2729,0,59
B02535,LFS LIMO CORP.,,2017,7,July,110,0,9
B02508,"DISPATCH CENTRAL, INC.",,2015,4,April,78,0,10
B01629,BBA MANAGEMENT INC.,UNITED CAR & LIMO SERVICE,2019,7,July,1085,0,4
B00446,COMMUNICAR INCORPORATED,,2016,12,December,4994,0,109
B01479,PRATT CAR SERVICE INC,,2020,1,January,181,0,2
B01231,GO CAR CORP.,,2021,7,July,8977,0,121
B01200,NEW YORK APPLE CAR SERVICE INC,N Y LIMO & CAR SVCE,2021,10,October,3229,0,20
B02942,FANNY RADIO DISPATCHER SERVICE INC.,,2017,4,April,796,0,8
B03343,"GRACEFUL TRANSPORTATION, INC",,2022,2,February,37,0,2
B01234,BAILEY RADIO CAR & LIMO. CORP.,,2015,8,August,187,0,14
B03186,ONE STOP RIDE LLC,,2019,12,December,330,0,6
B00254,XYZ TWO WAY RADIO,,2022,1,January,4597,0,103
B02331,"CHICO EXPRESS LIMO, INC.",,2020,5,May,1139,0,6
B02050,"MAZIN  CAR & LIMO SVC., LLC",,2020,12,December,429,0,5
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2020,12,December,1613,0,8
B02794,ASAP LUXE INC,,2015,11,November,392,0,4
B01196,DIPLO RAD DISP INC,,2018,10,October,8314,0,67
B02769,MAVROS TRANSPORTATION INC,,2017,12,December,136,0,7
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2018,9,September,965,0,24
B03327,DAHLIA TRANSPORTATION CORP.,,2021,11,November,309,0,5
B00254,XYZ TWO WAY RADIO,,2017,4,April,17895,0,272
B01623,JAMAICA EXPRESS CAR SERVICE INC.,SUNSHINE CAR SERVICE,2016,2,February,1705,0,11
B03007,THE NEW SPANISH CAR & LIMO INC,,2017,6,June,305,0,8
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2017,8,August,53724,0,707
B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,2017,11,November,2050,0,24
B01013,AMERICANA TRANSPORTATION LLC,,2022,1,January,843,0,6
B01973,RAJA CAR & LIMOUSINE SERVICE INC.,ANGEL CAR SERVICE,2018,1,January,1075,0,6
B00888,ACE C/L SVCE INC,,2016,9,September,1946,0,43
LYFT,LYFT,LYFT,2020,4,April,1144083,0,11666
B01949,FIRST CLASS OF NEW YORK INC.,NEW YORK FIRST CLASS,2016,12,December,1219,0,56
B01601,YOURS CAR SERVICE INC,,2018,12,December,3186,0,10
B02853,SAFE RIDES CAR & LIMO SERVICES INC,,2017,10,October,11,0,4
B00095,LIBERTY CAR SERVICE INC.,,2022,5,May,1025,0,6
B00932,NATASHAS GRP CAR CORP,,2022,2,February,872,0,4
B00277,ALL CITY CORP TRANS INC,,2018,9,September,1235,0,40
B01118,INTERNATIONAL CAR SERVICE INC.,,2017,6,June,674,0,9
B03202,JUPITER SELECT LLC,,2020,6,June,110,0,5
B02675,FRIELECH CAR & LIMO SERVICE INC,15TH AVENUE CAR SERVICE,2015,12,December,68,0,11
B03162,IMPERIUM TRANS GROUP INC,,2019,3,March,1397,0,7
B01546,BELLE-ROCK OF BEACH CHANNEL INC.,,2017,4,April,2255,0,11
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2019,2,February,16837,0,111
B01944,"DAG NETWORK TRANSPORTATION,CORP",,2019,3,March,1,0,1
B01970,GRAFE STREET SERVICE CORP.,,2016,2,February,271,0,10
B01339,R C AUDUBON SVC INC,,2015,11,November,15006,0,140
B01877,U.S.A. LIMO. INC.,BLUE LINE,2020,1,January,4890,0,142
B01821,EMPIRE TRANSPORTATION SERVICE INC.,,2019,3,March,1363,0,9
B02913,DAT TRANSPORTATION INC.,,2017,4,April,212,0,11
B03359,VJVM CAR SERVICE INC,,2021,10,October,514,0,5
B01231,GO CAR CORP.,,2017,12,December,4510,0,24
B02994,99 CAR SERVICES INC.,,2018,2,February,120,0,3
B01726,SUPER CLASS RADIO DISP INC,,2021,4,April,4563,0,31
B01973,RAJA CAR & LIMOUSINE SERVICE INC.,ANGEL CAR SERVICE,2016,4,April,1834,0,12
B01233,NEW LACONIA RAD DISP INC,,2017,2,February,20034,0,82
B02573,SUNSET PARK CAR SERVICE INC,,2021,8,August,184,0,1
B01081,GEORGE TOWN MANAGEMENT INC,,2017,9,September,1267,0,13
B02424,FRIENDLY RIDE INC,,2016,1,January,351,0,38
B03145,YERZ CAR INC.,,2020,8,August,56,0,5
B03015,TRI-COUNTY BLACK CARS INC,,2021,8,August,2258,0,9
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2018,8,August,13983,0,62
B00225,DELANCEY TRANSPORTATION INC.,,2020,3,March,5656,0,83
B02967,ABIEL TRANSPORTATION CORP,,2019,1,January,518,0,9
B02279,MATAMOROS CAR SERVICE INC.,,2019,5,May,7213,0,21
B02852,OP CAR SERVICE INC.,,2019,7,July,1184,0,9
B02962,"HEALTH BLACK CAR SERVICES, CORP",ADON,2019,10,October,688,0,9
B02279,MATAMOROS CAR SERVICE INC.,,2016,8,August,9587,0,31
B01623,JAMAICA EXPRESS CAR SERVICE INC.,SUNSHINE CAR SERVICE,2019,4,April,1213,0,6
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2021,7,July,682,0,3
B03078,EQUALTRANS LLC,,2018,10,October,74,0,6
B00171,CURB TRANSPORTATION SERVICES LLC.,,2021,6,June,2743,0,25
B02951,"APPROACH QUALITY TRANSPORTATION, LLC",,2017,3,March,1319,0,35
B01346,ARECIBO C/S INC,,2019,8,August,3268,0,27
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2019,12,December,1324,0,10
B00625,"CENTRAL CAR SERVICES,INC.",,2017,10,October,3478,0,30
B00552,HINO-MARU ENTERPRISES INC.,,2018,8,August,337,0,34
B01351,HADERECH CAR SERVICE INC,,2015,5,May,1404,0,6
B02005,CAR LINE TRANSPORTATION CORP.,CAR LINE TRANSPORTATION CORP.,2020,3,March,210,0,16
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2015,11,November,1378,0,11
B01800,EMPIRE INTERNATIONAL LTD.,,2020,8,August,270,0,37
B02517,LOS PAISANOS LUXURY C/S INC.,,2018,11,November,942,0,8
B01315,"V.I.T. CAR SERVICE, INC.",,2020,11,November,5656,0,36
B02011,EXECUTIVE TOWN CAR & LIMO CORP.,,2018,1,January,158,0,10
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,2016,9,September,23,0,3
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,2015,9,September,16656,0,9
b00855,MAGNIFICENT 7'S ENTP INC,,2018,4,April,382,0,5
B02167,MADISON LIMOUSINE INC,,2015,5,May,60,0,2
B02782,NEW APP CAR & LIMO INC,,2022,1,January,2523,0,13
B02253,"CRESTWOOD CAR & LIMO SVC,LTD",,2019,1,January,315,0,7
B03126,YUR DRIVERS NETWORK INC,,2021,5,May,430,0,7
B02463,MORENITA EXPRESS CAR SERVICE INC.,,2019,6,June,1438,0,6
B02709,DASH CAR SERVICE CORP,,2016,6,June,1548,0,4
B03145,YERZ CAR INC.,,2021,5,May,92,0,3
B00196,NEW EASY WAY RADIO DISP INC,,2019,11,November,60,0,5
B02971,"ULTRA BLACK CAR TRANSPORTATION, CORP.",,2022,5,May,201,0,10
B01485,FLAMINGO TRANSP. & LIMO. SERVICES INC.,,2021,10,October,5007,0,25
B01811,IVOIRE LIMO INC.,,2017,2,February,484,0,41
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,2019,4,April,13977,0,66
B01306,"R N D TRANSPORTATION, INC.",MALONES CAR SVCE,2021,9,September,153,0,3
B02643,LORY CAR SERVICE CORP.,,2020,6,June,204,0,3
B00552,HINO-MARU ENTERPRISES INC.,,2018,10,October,407,0,36
B03037,RIDE SOLUTION WORLDWIDE INC,,2022,4,April,1,0,1
B02931,NEW TECHNOLOGY TRANSPORTATION INC.,,2019,3,March,14353,0,66
B02912,FIRST CLASS LUXURY INC,,2021,8,August,682,0,6
B03156,EPIC CAR SERVICE INC.,,2021,11,November,1313,0,16
B03031,ALLIANCE LIMOUSINE INC,,2018,5,May,182,0,12
B02901,GALLANT LUXURY SERVICE CORP.,,2020,12,December,355,0,7
B00401,TREMONT DISPATCHING CORP,,2018,11,November,754,0,4
B01020,MICHAELS CAR SERVICE INC.,UNION LIMO AND CAR SERVICE INC,2018,4,April,535,0,9
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,2019,7,July,196,0,6
B02769,MAVROS TRANSPORTATION INC,,2020,9,September,1771,0,11
B03361,D MANNY SAFE RIDE CORP.,,2022,4,April,280,0,2
B03308,B.S.Z. LUXURY BLACK CAR INC.,,2022,6,June,104,0,16
B01332,SKYWAY CAR SERVICE EXPRESS INC.,,2017,4,April,1326,0,20
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,2021,10,October,4661,0,13
B02972,BLESSING TRANSPORTATION GROUP INC,,2021,9,September,802,0,10
B01963,AFRO CAR SERVICE CORP,,2021,1,January,2569,0,18
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2017,11,November,3,0,3
B02461,NEW HEAVEN RADIO DISPATCH CORP,,2019,12,December,5557,0,57
B01341,A NEW DAY RAD DISP INC,,2018,8,August,2605,0,23
B02774,ALFRED HOLDINGS INC.,ALFRED EXECUTIVE TRANSPORTATION,2018,9,September,202,0,12
B02795,LIMO SEVEN TRANSPORTATION INC,,2017,12,December,6342,0,37
B03315,BRISK CAR SERVICE INC.,,2021,7,July,330,0,2
B02707,CORONA PLAZA CAR & LIMO SERVICES INC.,,2017,3,March,1473,0,23
B02461,NEW HEAVEN RADIO DISPATCH CORP,,2019,10,October,5278,0,59
B02401,NORTHSIDE BK LLC,,2016,10,October,6208,0,106
B00811,LLAMA LIMO C/S CORP,METROGREEN CAR SERVICE,2019,11,November,1540,0,31
B02003,"AVALON CORPORATE CAR,INC.",,2017,2,February,3467,0,97
B01420,A.M.N. MANAGEMENT INC.,ALWAYS READY C/S,2017,10,October,1611,0,9
B02951,"APPROACH QUALITY TRANSPORTATION, LLC",,2018,5,May,1053,0,15
B00095,LIBERTY CAR SERVICE INC.,,2019,6,June,2697,0,14
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2018,3,March,2812,0,14
B02522,CHAUFFEURED EXECUTIVE TRANSPORTATION LLC,,2021,3,March,13,0,1
B02546,X RADIO DISPATCHER INC.,,2021,4,April,6492,0,35
B00222,"REYNO CAR SVC, INC.",,2021,8,August,1123,0,7
B03014,AMBULAR LLC,,2018,11,November,2491,0,21
B02397,CHICO EXPRESS CORP. 2,,2021,5,May,122,0,1
B01468,MEGA RADIO DISPATCHER INC,,2015,12,December,32399,0,185
B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,,2019,12,December,8,0,2
B02825,GUADALUPANA II CAR & LIMO INC,,2019,10,October,3323,0,18
B00608,SUMMIT CORPORATE CAR INC.,,2021,9,September,453,0,155
B01197,"TEL-A-CAR OF NEW YORK, LLC",,2016,10,October,4822,0,88
B00955,GOLDEN-TOWN CAR & LIMOUSINE SERVICE INC.,,2016,4,April,2589,0,40
B03116,NAVI TRANSPORTATION INC.,,2021,12,December,716,0,5
B01928,DISCOVER LIMO INC,INFINITY LIMO,2017,1,January,59,0,10
B02167,MADISON LIMOUSINE INC,,2019,1,January,45,0,7
B02016,PLANET LIMOUSINE LLC,,2018,3,March,1653,0,36
B01639,HIGH CLASS LIMO CAR SVCE CORP,,2021,5,May,5800,0,44
B01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2019,3,March,3627,0,15
B00001,LONDON TOWNCARS INC,,2021,4,April,278,0,13
B00254,XYZ TWO WAY RADIO,,2015,2,February,30566,0,345
B03046,"BEL-LINDA, INC",ISLANDER TRANS,2018,7,July,3367,0,15
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2015,10,October,35341,0,170
B02823,AAA FAMILY LIMOUSINE SERVICE INC,,2019,4,April,32,0,3
B02389,"EMBARQUE N.Y., INC.",,2015,9,September,1450,0,14
B00014,NY ONE CORP CAR INC,,2019,4,April,5306,0,123
B00013,LOVE CORPORATE CAR INC,,2017,6,June,4214,0,117
B01699,DT BROOKLYN CAR AND LIMO SVC. INC.,FIVE BOROUGHS CAR SERVICE,2018,5,May,91,0,1
B01854,EUROPE LIMOUSINE SERVICE INC,,2022,2,February,1271,0,100
B02315,LA MORENITA CAR LIMO SERVICE INC,,2021,5,May,983,0,5
B01938,"ALL STAR LIMOUSINE SERVICE, LTD.",,2021,5,May,437,0,14
B02061,ROYAL COACHMAN LTD.,,2018,6,June,54,0,9
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2022,3,March,802,0,9
B02823,AAA FAMILY LIMOUSINE SERVICE INC,,2018,8,August,25,0,4
B01128,PAK-EAGLE INC.,JEWEL CAR SERVICE,2020,2,February,418,0,2
B02331,"CHICO EXPRESS LIMO, INC.",,2018,8,August,1524,0,6
B02416,"NEW STORM CAR SERVICE, INC.",,2020,11,November,2638,0,6
B02389,"EMBARQUE N.Y., INC.",,2019,1,January,182,0,2
B00009,T-D MAINTENANCE,FOUR ONES CAR SERVICE,2015,8,August,4996,0,29
B03164,KISS LUXURY TRANSPORTATION INC.,,2020,5,May,2438,0,13
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2016,8,August,70,0,7
B00990,"MIRAGE LIMOUSINE SERVICE, INC.",UFO PVT C/L SERVICE,2019,4,April,122,0,2
B02573,SUNSET PARK CAR SERVICE INC,,2019,5,May,2624,0,9
B00623,MANHATTAN INT'L LIMO NETWORK LLC,,2015,8,August,343,0,9
B01336,BAY EXPRESS CORP.,,2016,7,July,5173,0,29
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2018,9,September,1859,0,8
B03092,USA LIMOUSINE SERVICE CORP,VPZ EXECUTIVE LIMO,2019,7,July,544,0,11
B02727,OSCAR LIMOUSINE INC,,2022,2,February,217,0,6
B01467,NEW EXPERIENCE #1 INC,,2015,7,July,21336,0,99
B03312,ACK TRANSPORTATION CORP.,,2022,4,April,1866,0,17
B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,2016,12,December,1902,0,100
B03170,PAISA CLASSIC BLACK INC.,,2019,8,August,9,0,5
B01013,AMERICANA TRANSPORTATION LLC,,2021,3,March,1006,0,6
B02472,NEW BUSHWICK LUXURY INC.,,2018,6,June,7669,0,48
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2016,3,March,992,0,6
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2015,4,April,196,0,10
B00151,KINGSBAY CAR SERVICE INC,,2020,7,July,7,0,6
B02397,CHICO EXPRESS CORP. 2,,2018,5,May,4515,0,19
B02736,TRINITY CAR SERVICE INC,,2016,6,June,1577,0,6
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2018,9,September,1719,0,8
B03061,BLUE EAGLE TRANSPORTATION SERVICES CORP,,2021,7,July,1720,0,27
B00472,FARRELL'S LEASING CO.,,2019,2,February,727,0,40
B01311,DISCOUNT CAR SVCE,,2019,4,April,1,0,1
B02735,"BEST DEAL CAR SERVICE 2,INC.",,2017,3,March,2462,0,82
B01445,J T TRANS CO INC,,2018,5,May,5967,0,78
B03269,"KID CAR NY,LLC",,2020,7,July,94,0,9
B02228,SPECIAL RADIO DISP.CORP.,,2017,3,March,2239,0,17
B03240,ARECIBO EXPRESS INC.,,2021,6,June,692,0,20
B01454,FREEDOM LIMO & CAR SERVICE,,2017,2,February,13750,0,57
B00459,910 CAR SERVICE INC,,2022,1,January,253,0,6
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,2016,7,July,14,0,3
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,2018,1,January,14,0,2
B03050,"TORINKO NY, LLC",,2019,9,September,209,0,15
B00556,SURREY CADILLAC LIMO SVC INC,,2016,12,December,716,0,26
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2017,11,November,16477,0,84
B03156,EPIC CAR SERVICE INC.,,2019,10,October,2309,0,33
B00208,ERNEST SCHWARZ INC,,2018,3,March,118,0,4
B03048,ATLANTIS TRANSPORTATION SERVICES INC,,2020,1,January,2055,0,10
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2016,2,February,254,0,10
B01190,NEW BELL CAR SERVICE CORP,,2017,3,March,13617,0,62
B02401,NORTHSIDE BK LLC,,2022,3,March,2058,0,40
B00078,R & R ROAD LIMO SVCE INC,,2020,1,January,578,0,34
B02823,AAA FAMILY LIMOUSINE SERVICE INC,,2022,1,January,6,0,2
B00254,XYZ TWO WAY RADIO,,2017,7,July,15251,0,252
B00281,"VEE CEE LIMOUSINE SERVICE, INC",NOSTRAND CAR SVCE,2017,2,February,2253,0,14
B00623,MANHATTAN INT'L LIMO NETWORK LLC,,2020,12,December,136,0,4
B01846,ROMANTIQUE LIMOUSINE INC.,,2018,12,December,39,0,9
B02517,LOS PAISANOS LUXURY C/S INC.,,2015,10,October,346,0,11
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2018,2,February,11160,0,62
B02436,FEDERAL TRANSIT NY INC.,,2015,11,November,71,0,11
B01190,NEW BELL CAR SERVICE CORP,,2018,2,February,4900,0,24
B01236,BLS LIMO SVC OF NY INC,,2018,4,April,2630,0,120
B02060,AMERICAN LIMOUSINE LLC,FLYTE TYME WORLDWIDE/ADDISON LEE/TRISTAR,2017,4,April,592,0,58
B02429,SEAGULL RIDE CORP,,2016,10,October,819,0,5
B02657,MALCOLM LIMO EXPRESS CORP.,,2021,5,May,3552,0,33
B01546,BELLE-ROCK OF BEACH CHANNEL INC.,,2018,9,September,1818,0,10
B00457,PREMIUM BRONX CORP,,2018,7,July,223,0,53
B01742,"AVALON TRANSPORTATION, LLC",,2018,5,May,386,0,15
B02252,ASIANA LIMOUSINE INC.,,2017,5,May,13,0,2
B03164,KISS LUXURY TRANSPORTATION INC.,,2022,1,January,3886,0,22
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2017,11,November,1304,0,5
B02929,OTTOMAN TRANSPORTATION INC.,,2020,12,December,550,0,6
B01928,DISCOVER LIMO INC,INFINITY LIMO,2017,8,August,41,0,12
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,2020,11,November,24,0,5
b01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2015,12,December,2379,0,25
B01601,YOURS CAR SERVICE INC,,2022,5,May,1793,0,8
B02355,BWJ GROUP INC,,2018,11,November,740,0,3
B01176,SANTO DOMINGO CAR LIMO SERVICES INC,,2019,4,April,5630,0,29
B02845,MIRAE CALLS INC,,2016,1,January,20,0,9
B00037,TRANSP UNLIMITED C/S,,2016,7,July,10813,0,48
B00625,"CENTRAL CAR SERVICES,INC.",,2022,1,January,1723,0,20
B00014,NY ONE CORP CAR INC,,2018,8,August,4118,0,122
B00083,PAGE-A-RIDE INC,,2016,1,January,222,0,15
B02762,SHOWTIME TRANSPORTATION CORP.,,2018,10,October,1716,0,20
B02997,KALUMA TRANSPORTATION GROUP INC.,,2020,12,December,28,0,3
B01452,AREAS TRANSP INC,,2021,11,November,1683,0,8
B02947,"ONIX TRANSPORTATION, INC",,2017,11,November,5086,0,44
B02840,RAELEEN CAR CORP.,,2020,11,November,202,0,5
B02929,OTTOMAN TRANSPORTATION INC.,,2020,11,November,618,0,8
B00932,NATASHAS GRP CAR CORP,,2018,12,December,2078,0,14
B01148,EVELYN CAR SERVICE INC,,2017,7,July,2150,0,26
B02594,FENIX MOBILE DISPATCHERS LTD,,2022,2,February,517,0,2
B02355,BWJ GROUP INC,,2018,4,April,550,0,3
B00821,ATLANTIC CAR SVCE,,2016,11,November,23511,0,123
B02762,SHOWTIME TRANSPORTATION CORP.,,2020,3,March,1247,0,16
B02921,"GRAVITAS PRIMO,LLC",,2017,2,February,2,0,2
B02389,"EMBARQUE N.Y., INC.",,2015,5,May,1410,0,19
B02517,LOS PAISANOS LUXURY C/S INC.,,2017,10,October,648,0,8
B01016,810 CAR SVCE CORP,,2022,4,April,3548,0,21
B01843,"VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.",VINCENT LIMOUSINE,2021,9,September,1022,0,21
B00448,DIAL CAR INC.,,2015,11,November,4100,0,219
B01066,DOMINICANA RAD DISP INC,,2015,5,May,23943,0,101
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2017,3,March,5151,0,23
B02725,KIRIN TRANSPORTATION INC,,2018,7,July,213,0,13
B02377,AMERICAN BASE #2. INC.,,2016,1,January,184,0,7
B00170,EMUNAH CAR SERVICE INC,,2018,7,July,1002,0,4
B00387,FORTUNE LIMOUSINES INC,,2020,10,October,52,0,2
B00387,FORTUNE LIMOUSINES INC,,2019,2,February,97,0,7
B01601,YOURS CAR SERVICE INC,,2020,3,March,828,0,7
B01726,SUPER CLASS RADIO DISP INC,,2022,1,January,3715,0,24
B00882,U N C CAR & LIMO SERVICE,,2019,7,July,3519,0,32
B01639,HIGH CLASS LIMO CAR SVCE CORP,,2020,5,May,2889,0,39
B01389,METRO LUXURY INC,,2016,6,June,3200,0,60
B02759,"LAPUMA TRANSPORTATION GROUP,LLC",LAPUMA,2017,7,July,3764,0,54
B00014,NY ONE CORP CAR INC,,2020,1,January,4178,0,115
B03267,MANGA TRANSPORTATION CORP,,2021,10,October,763,0,8
B01721,W.K. CAR & LIMO SERVICE INC,,2020,7,July,464,0,5
B00053,CHARGE AND RIDE INC,,2019,6,June,681,0,34
B02920,AMAZING CAR AND LIMO SERVICE INC,,2019,2,February,1001,0,9
B01970,GRAFE STREET SERVICE CORP.,,2016,3,March,157,0,8
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2015,11,November,22971,0,91
B03033,FLEX EXPRESS CORP.,,2019,2,February,5224,0,28
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,2022,3,March,78,0,4
B02067,"GROUP AMERICAR TRANSPORTATION,LLC.",,2017,5,May,3330,0,81
B02998,GENESIS LUXURY TRANSPORTATION CORP.,,2019,9,September,6316,0,32
B03194,"SUNNY DAY TRANSPORTATION,CORP",SUN LIGHT CAR AND LIMO,2021,3,March,868,0,8
B02138,"GUADALUPANA CAR LIMO, INC",,2020,9,September,1864,0,10
B01124,COOPERATIVA CLBNA DE CON INC,,2018,8,August,3112,0,38
B02597,"RUDY'S LIMOUSINE SERVICE, INC.",RUDY'S EXECUTIVE TRANSPORTATION,2018,3,March,90,0,12
B02249,"LA RAZA CAR SERVICE, INC.",,2019,4,April,2818,0,18
B02453,MCW CAR & LIMO INC.,,2017,12,December,53,0,9
B00272,BIG APPLE CAR INC,,2018,11,November,2722,0,95
B02093,V.J. CAR & LIMO SVC INC.,,2018,11,November,361,0,2
B00318,APPLE RADIO CARS INC,,2015,9,September,5429,0,28
B03316,BLADE URBAN GROUND MOBILITY LLC.,BLADE,2021,5,May,97,0,6
B01913,MIRAGE LIMOUSINE SERVICE INC,,2019,11,November,625,0,22
B02401,NORTHSIDE BK LLC,,2020,4,April,378,0,11
B02026,A RIDE FOR ALL LLC,,2015,9,September,88,0,1
B02416,"NEW STORM CAR SERVICE, INC.",,2016,1,January,9448,0,16
B00350,A & A CHAMPION CAR LIMO SVC INC,,2022,2,February,2277,0,24
B01721,W.K. CAR & LIMO SERVICE INC,,2019,8,August,2524,0,20
B01737,WASHINGTON RAD DISP INC,,2016,3,March,4221,0,39
B02021,EASYRIDE CAR SERVICE INC.,,2021,7,July,569,0,4
B02316,"AJAY CAR SERVICE, LLC.",,2015,12,December,1434,0,17
B01288,NEW ELEGANTE CAR SVC INC,ELEGANTE,2017,8,August,5056,0,47
B02795,LIMO SEVEN TRANSPORTATION INC,,2020,11,November,4702,0,41
B01980,"READY TO ROLL TRANSPORTATION, INC.",,2021,10,October,196,0,6
B00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,2021,10,October,10023,0,26
B02207,"EASTERN LUXURY, INC.",,2017,10,October,534,0,109
B03084,PERSIST CORPORATION,,2020,6,June,86,0,4
B03002,"REYNO,INC.",,2018,6,June,5918,0,42
B01711,FLUSHING LIMO TRANSP CORP,,2018,4,April,3034,0,16
B03006,HUDSON HEIGHTS TRANSPORTATION INC.,,2021,7,July,196,0,21
B02988,"BED STAR DRIVERS ASSOCIATES, INC",,2018,2,February,697,0,5
B00446,COMMUNICAR INCORPORATED,,2018,8,August,3525,0,86
B02797,CJ LIMOUSINE LLC,,2017,3,March,518,0,11
B01406,GOTHAM CAR SERVICE INC.,LEGEND CAR SERVICE,2017,1,January,782,0,11
B00171,CURB TRANSPORTATION SERVICES LLC.,,2017,10,October,2999,0,17
B01482,SHORE TRANSPORTATION INC,SEASIDE CAR SERVICE,2021,5,May,1142,0,4
B02138,"GUADALUPANA CAR LIMO, INC",,2022,6,June,424,0,3
b02535,LFS LIMO CORP.,,2017,3,March,133,0,12
B03299,WHITE TOP CAR SVCE INC,,2020,11,November,2082,0,16
B02860,EVERY WHERE LIMO SERVICE INC.,,2018,1,January,8,0,1
B00001,LONDON TOWNCARS INC,,2018,12,December,1156,0,27
B00955,GOLDEN-TOWN CAR & LIMOUSINE SERVICE INC.,,2021,8,August,3695,0,27
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2018,11,November,3229,24,16
B02658,ASCONA CAR SERVICE INC.,,2018,7,July,1103,0,10
B01231,GO CAR CORP.,,2019,2,February,17523,0,196
B03028,CASTILLO CAR & LIMO INC,,2020,12,December,712,0,4
B02749,FACE LIMO INC,,2016,2,February,144,0,7
B00053,CHARGE AND RIDE INC,,2021,8,August,197,0,57
B02546,X RADIO DISPATCHER INC.,,2017,4,April,28116,0,162
B03338,A & T NYC LIMO LLC,,2022,2,February,6,0,1
B02599,CMS LIMO INC.,,2021,10,October,144,0,4
B03064,AP LUXURY LIMOUSINE INC,,2017,8,August,142,0,6
B01282,NEW LOTS C/S INC,,2018,1,January,17833,0,77
B02817,ANYTIME FORSYTH TRANSPORT CORP,,2022,3,March,211,0,5
B02182,"FINEST CAR SERVICE, LLC",,2018,12,December,3738,0,42
